Filename,Method,DICE
healthy-01-roi1.tif,Otsu Threshold,0.5161533247985541
healthy-01-roi1.tif,Riddler Threshold,0.5161533247985541
healthy-01-roi2.tif,Otsu Threshold,0.5559831710470269
healthy-01-roi2.tif,Riddler Threshold,0.5568672099712368
healthy-01-roi3.tif,Otsu Threshold,0.5888136278623061
healthy-01-roi3.tif,Riddler Threshold,0.5953064455915861
healthy-01-roi4.tif,Otsu Threshold,0.6082722679617827
healthy-01-roi4.tif,Riddler Threshold,0.6115481005434108
healthy-01-roi5.tif,Otsu Threshold,0.5925967723733213
healthy-01-roi5.tif,Riddler Threshold,0.5958063690887901
healthy-02-roi1.tif,Otsu Threshold,0.6690596181426317
healthy-02-roi1.tif,Riddler Threshold,0.6690596181426317
healthy-02-roi2.tif,Otsu Threshold,0.6154820415879017
healthy-02-roi2.tif,Riddler Threshold,0.6262193348201299
healthy-02-roi3.tif,Otsu Threshold,0.6033489713619328
healthy-02-roi3.tif,Riddler Threshold,0.6070234714783797
healthy-02-roi4.tif,Otsu Threshold,0.5376847491766243
healthy-02-roi4.tif,Riddler Threshold,0.5376847491766243
healthy-02-roi5.tif,Otsu Threshold,0.6421575819822464
healthy-02-roi5.tif,Riddler Threshold,0.6458850098108179
healthy-03-roi1.tif,Otsu Threshold,0.578647519827303
healthy-03-roi1.tif,Riddler Threshold,0.582507703247215
healthy-03-roi2.tif,Otsu Threshold,0.6133171395476986
healthy-03-roi2.tif,Riddler Threshold,0.6160031892476793
healthy-03-roi3.tif,Otsu Threshold,0.6074159368908013
healthy-03-roi3.tif,Riddler Threshold,0.6074159368908013
healthy-03-roi4.tif,Otsu Threshold,0.5864203617876825
healthy-03-roi4.tif,Riddler Threshold,0.5898235836173685
healthy-04-roi1.tif,Otsu Threshold,0.6015149158180665
healthy-04-roi1.tif,Riddler Threshold,0.6015149158180665
healthy-04-roi2.tif,Otsu Threshold,0.6969680111265647
healthy-04-roi2.tif,Riddler Threshold,0.6969680111265647
healthy-04-roi3.tif,Otsu Threshold,0.7102176916114895
healthy-04-roi3.tif,Riddler Threshold,0.7135277232794364
healthy-04-roi4.tif,Otsu Threshold,0.7557430488974113
healthy-04-roi4.tif,Riddler Threshold,0.7602213371321143
healthy-04-roi5.tif,Otsu Threshold,0.543755509844255
healthy-04-roi5.tif,Riddler Threshold,0.5470666323235125
healthy-05-roi3.tif,Otsu Threshold,0.6818113049448951
healthy-05-roi3.tif,Riddler Threshold,0.6823615314859087
healthy-06-roi1.tif,Otsu Threshold,0.5870433220203634
healthy-06-roi1.tif,Riddler Threshold,0.5898588339558144
healthy-06-roi2.tif,Otsu Threshold,0.5203059859475044
healthy-06-roi2.tif,Riddler Threshold,0.5231474166534997
healthy-07-roi1.tif,Otsu Threshold,0.49796843754378367
healthy-07-roi1.tif,Riddler Threshold,0.5014394340377738
healthy-07-roi2.tif,Otsu Threshold,0.4206878494308993
healthy-07-roi2.tif,Riddler Threshold,0.4209007200112943
healthy-08-roi1.tif,Otsu Threshold,0.5973733583489681
healthy-08-roi1.tif,Riddler Threshold,0.5992817350033629
healthy-09-roi1.tif,Otsu Threshold,0.6560694075441678
healthy-09-roi1.tif,Riddler Threshold,0.6613228905341737
healthy-10-roi1.tif,Otsu Threshold,0.6563973654468218
healthy-10-roi1.tif,Riddler Threshold,0.6602990360023608
healthy-10-roi2.tif,Otsu Threshold,0.3881465024340837
healthy-10-roi2.tif,Riddler Threshold,0.3913714439076758
healthy-10-roi3.tif,Otsu Threshold,0.49462267507092234
healthy-10-roi3.tif,Riddler Threshold,0.4955745732460757
healthy-10-roi4.tif,Otsu Threshold,0.40945728103170337
healthy-10-roi4.tif,Riddler Threshold,0.40945728103170337
healthy-11-roi1.tif,Otsu Threshold,0.6086956521739131
healthy-11-roi1.tif,Riddler Threshold,0.6117270263611727
healthy-11-roi2.tif,Otsu Threshold,0.6297550669398762
healthy-11-roi2.tif,Riddler Threshold,0.6327138906524055
healthy-11-roi3.tif,Otsu Threshold,0.3694413486744
healthy-11-roi3.tif,Riddler Threshold,0.37341813016528924
healthy-11-roi4.tif,Otsu Threshold,0.6853697478158253
healthy-11-roi4.tif,Riddler Threshold,0.6955266068575642
healthy-12-roi1.tif,Otsu Threshold,0.7038375775101056
healthy-12-roi1.tif,Riddler Threshold,0.7040855209631407
healthy-12-roi2.tif,Otsu Threshold,0.750361682339568
healthy-12-roi2.tif,Riddler Threshold,0.750361682339568
healthy-13-roi1.tif,Otsu Threshold,0.32820996737252894
healthy-13-roi1.tif,Riddler Threshold,0.32750430568350225
healthy-13-roi2.tif,Otsu Threshold,0.7196433321089762
healthy-13-roi2.tif,Riddler Threshold,0.7196433321089762
healthy-13-roi3.tif,Otsu Threshold,0.646511914290992
healthy-13-roi3.tif,Riddler Threshold,0.6499326649708215
healthy-13-roi4.tif,Otsu Threshold,0.629879937146257
healthy-13-roi4.tif,Riddler Threshold,0.6324121692793854
healthy-14-roi2.tif,Otsu Threshold,0.6291767347636132
healthy-14-roi2.tif,Riddler Threshold,0.6293621696354726
healthy-14-roi3.tif,Otsu Threshold,0.3132047174313177
healthy-14-roi3.tif,Riddler Threshold,0.322632678044214
healthy-15-roi1.tif,Otsu Threshold,0.5722317549560074
healthy-15-roi1.tif,Riddler Threshold,0.5747739736179043
healthy-15-roi2.tif,Otsu Threshold,0.5529824220882413
healthy-15-roi2.tif,Riddler Threshold,0.5556855837100728
healthy-16-roi1.tif,Otsu Threshold,0.6272427638281297
healthy-16-roi1.tif,Riddler Threshold,0.6311832260098713
healthy-16-roi2.tif,Otsu Threshold,0.5436274837760086
healthy-16-roi2.tif,Riddler Threshold,0.5453487742843227
healthy-16-roi3.tif,Otsu Threshold,0.5226949310564797
healthy-16-roi3.tif,Riddler Threshold,0.5254937074068547
healthy-16-roi4.tif,Otsu Threshold,0.47963503232080545
healthy-16-roi4.tif,Riddler Threshold,0.49022199123914173
healthy-16-roi5.tif,Otsu Threshold,0.36644388107858955
healthy-16-roi5.tif,Riddler Threshold,0.3741031484764075
healthy-17-roi1.tif,Otsu Threshold,0.7504966229638459
healthy-17-roi1.tif,Riddler Threshold,0.7529487716359575
healthy-17-roi2.tif,Otsu Threshold,0.407966203983102
healthy-17-roi2.tif,Riddler Threshold,0.4134074682504581
healthy-17-roi3.tif,Otsu Threshold,0.6316622436670688
healthy-17-roi3.tif,Riddler Threshold,0.6352313859806172
healthy-17-roi4.tif,Otsu Threshold,0.39842339213779693
healthy-17-roi4.tif,Riddler Threshold,0.40167171368361404
healthy-18-roi1.tif,Otsu Threshold,0.6955518641565153
healthy-18-roi1.tif,Riddler Threshold,0.69881072590598
healthy-18-roi2.tif,Otsu Threshold,0.37539749627661717
healthy-18-roi2.tif,Riddler Threshold,0.3803156510302499
healthy-18-roi3.tif,Otsu Threshold,0.36593572340178676
healthy-18-roi3.tif,Riddler Threshold,0.36593572340178676
healthy-18-roi4.tif,Otsu Threshold,0.5661576260775634
healthy-18-roi4.tif,Riddler Threshold,0.5754399798490872
healthy-18-roi5.tif,Otsu Threshold,0.532452619491588
healthy-18-roi5.tif,Riddler Threshold,0.5341020295281453
healthy-19-roi1.tif,Otsu Threshold,0.4512390249149557
healthy-19-roi1.tif,Riddler Threshold,0.4543606118912133
healthy-19-roi2.tif,Otsu Threshold,0.6962304882098971
healthy-19-roi2.tif,Riddler Threshold,0.6983297752103479
healthy-19-roi3.tif,Otsu Threshold,0.38775190931975595
healthy-19-roi3.tif,Riddler Threshold,0.3893851282125283
healthy-19-roi4.tif,Otsu Threshold,0.60507271833064
healthy-19-roi4.tif,Riddler Threshold,0.60507271833064
healthy-19-roi5.tif,Otsu Threshold,0.3764368312792768
healthy-19-roi5.tif,Riddler Threshold,0.3808534610238716
healthy-19-roi6.tif,Otsu Threshold,0.37328162676809107
healthy-19-roi6.tif,Riddler Threshold,0.37750301185720625
healthy-20-roi1.tif,Otsu Threshold,0.63965315991329
healthy-20-roi1.tif,Riddler Threshold,0.6443691702510207
healthy-20-roi2.tif,Otsu Threshold,0.6349927793388337
healthy-20-roi2.tif,Riddler Threshold,0.6349927793388337
healthy-20-roi3.tif,Otsu Threshold,0.5501503775211896
healthy-20-roi3.tif,Riddler Threshold,0.5536241460529261
healthy-20-roi4.tif,Otsu Threshold,0.6524880193132274
healthy-20-roi4.tif,Riddler Threshold,0.6551850159890361
healthy-21-roi1.tif,Otsu Threshold,0.6572274064439536
healthy-21-roi1.tif,Riddler Threshold,0.6635352726625745
healthy-21-roi2.tif,Otsu Threshold,0.3560437255878575
healthy-21-roi2.tif,Riddler Threshold,0.36578668334194286
healthy-21-roi3.tif,Otsu Threshold,0.5986316652022391
healthy-21-roi3.tif,Riddler Threshold,0.6010905998299064
healthy-21-roi4.tif,Otsu Threshold,0.5577197783859555
healthy-21-roi4.tif,Riddler Threshold,0.560505247214108
healthy-21-roi5.tif,Otsu Threshold,0.590405758904864
healthy-21-roi5.tif,Riddler Threshold,0.5932712586049103
healthy-22-roi1.tif,Otsu Threshold,0.6351114867680147
healthy-22-roi1.tif,Riddler Threshold,0.6351114867680147
healthy-22-roi2.tif,Otsu Threshold,0.5573058901313709
healthy-22-roi2.tif,Riddler Threshold,0.5634683973571888
healthy-22-roi3.tif,Otsu Threshold,0.44278360018719953
healthy-22-roi3.tif,Riddler Threshold,0.44850934815563415
healthy-23-roi1.tif,Otsu Threshold,0.6824877838459328
healthy-23-roi1.tif,Riddler Threshold,0.6858106882414832
healthy-23-roi2.tif,Otsu Threshold,0.2907307473517519
healthy-23-roi2.tif,Riddler Threshold,0.2907307473517519
healthy-23-roi3.tif,Otsu Threshold,0.3836900603366148
healthy-23-roi3.tif,Riddler Threshold,0.3865422587014596
healthy-24-roi1.tif,Otsu Threshold,0.501778164314438
healthy-24-roi1.tif,Riddler Threshold,0.5066758019746319
healthy-24-roi2.tif,Otsu Threshold,0.3802349470578939
healthy-24-roi2.tif,Riddler Threshold,0.3813241972751175
healthy-24-roi3.tif,Otsu Threshold,0.4820396746531228
healthy-24-roi3.tif,Riddler Threshold,0.4836039772622068
healthy-24-roi4.tif,Otsu Threshold,0.6495419969390319
healthy-24-roi4.tif,Riddler Threshold,0.6495419969390319
healthy-25-roi1.tif,Otsu Threshold,0.44712848133543964
healthy-25-roi1.tif,Riddler Threshold,0.44712848133543964
healthy-25-roi2.tif,Otsu Threshold,0.6120170378709625
healthy-25-roi2.tif,Riddler Threshold,0.6158343253851322
healthy-25-roi3.tif,Otsu Threshold,0.4909405469200542
healthy-25-roi3.tif,Riddler Threshold,0.4909405469200542
healthy-25-roi4.tif,Otsu Threshold,0.6181972261838325
healthy-25-roi4.tif,Riddler Threshold,0.6218303016372204
healthy-26-roi1.tif,Otsu Threshold,0.5165335726375336
healthy-26-roi1.tif,Riddler Threshold,0.5208641746854182
healthy-26-roi2.tif,Otsu Threshold,0.44954822274409906
healthy-26-roi2.tif,Riddler Threshold,0.45287494973864095
healthy-26-roi3.tif,Otsu Threshold,0.5072098273302283
healthy-26-roi3.tif,Riddler Threshold,0.5175328216098318
healthy-27-roi1.tif,Otsu Threshold,0.603378066638583
healthy-27-roi1.tif,Riddler Threshold,0.6053779662399087
healthy-27-roi2.tif,Otsu Threshold,0.6095505302732731
healthy-27-roi2.tif,Riddler Threshold,0.6120670035049388
healthy-28-roi1.tif,Otsu Threshold,0.6677253819078207
healthy-28-roi1.tif,Riddler Threshold,0.6697254317903385
healthy-28-roi2.tif,Otsu Threshold,0.6922719307656546
healthy-28-roi2.tif,Riddler Threshold,0.6947096525003319
healthy-29-roi1.tif,Otsu Threshold,0.6318645573838123
healthy-29-roi1.tif,Riddler Threshold,0.6371133686547092
healthy-29-roi2.tif,Otsu Threshold,0.6586187801597975
healthy-29-roi2.tif,Riddler Threshold,0.6629946369038991
healthy-29-roi3.tif,Otsu Threshold,0.7022609405046326
healthy-29-roi3.tif,Riddler Threshold,0.7022609405046326
healthy-29-roi4.tif,Otsu Threshold,0.6040520208578083
healthy-29-roi4.tif,Riddler Threshold,0.6074222626098037
healthy-29-roi5.tif,Otsu Threshold,0.5819176465855915
healthy-29-roi5.tif,Riddler Threshold,0.5864274124272215
healthy-30-roi2.tif,Otsu Threshold,0.6607836134695806
healthy-30-roi2.tif,Riddler Threshold,0.6640373395565927
healthy-30-roi3.tif,Otsu Threshold,0.588739090511212
healthy-30-roi3.tif,Riddler Threshold,0.588739090511212
healthy-30-roi4.tif,Otsu Threshold,0.6317243343300584
healthy-30-roi4.tif,Riddler Threshold,0.6379590415965656
